temperature,air_quality,carbon_monoxide,smoke,status
67.19,1984,1039,2497,Fire
66.81,1957,1023,2545,Fire
66.31,1922,1007,2537,Fire
65.88,1904,998,2512,Fire
65.38,1873,977,2498,Fire
64.88,1824,976,2478,Fire
64.56,1825,975,2469,Fire
64.25,1808,960,2468,Fire
63.75,1787,951,2433,Fire
63.19,1762,945,2419,Fire
63.25,1764,947,2405,Fire
63.13,1757,944,2411,Fire
63.69,1742,933,2401,Fire
64.38,1743,950,2395,Fire
65.5,1731,939,2415,Fire
65.25,1703,923,2394,Fire
65.06,1680,918,2387,Fire
64.88,1628,937,2364,Fire
64.56,1618,905,2353,Fire
64.25,1577,894,2342,Fire
63.94,1535,884,2333,Fire
63.5,1488,880,2317,Fire
63.19,1442,869,2279,Fire
63.13,1446,875,2295,Fire
63.31,1427,866,2286,Fire
64.56,1441,869,2289,Fire
64.44,1413,874,2267,Fire
65.06,1409,862,2271,Fire
65.19,1409,858,2256,Fire
65.19,1394,862,2185,Fire
65.19,1379,860,2224,Fire
65,1379,854,2218,Fire
64.81,1310,839,2198,Fire
65.44,1329,830,2195,Fire
67.63,1358,816,2240,Fire
68.31,1395,848,2224,Fire
67.88,1392,827,2208,Fire
67.94,1410,839,2206,Fire
68.13,1404,834,2194,Fire
68,1382,851,2177,Fire
68.25,1371,822,2164,Fire
68,1346,819,2140,Fire
67.88,1332,822,2131,Fire
67.69,1327,809,2114,Fire
67.75,1328,810,2112,Fire
67.38,1303,782,2079,Fire
67.25,1286,794,2077,Fire
66.88,1276,621,2058,Fire
66.5,1263,786,2032,Fire
66.25,1258,781,2011,Fire
65.88,1246,779,2033,Fire
65.63,1227,779,1984,Fire
65.06,1223,775,1968,Fire
64.75,1214,766,1962,Fire
64.31,1215,771,1939,Fire
63.75,1205,759,1936,Fire
63.56,1189,756,1921,Fire
63.13,1174,738,1903,Fire
62.88,1174,755,1879,Fire
62.69,1149,765,1887,Fire
62.19,1159,747,1869,Fire
62,1155,771,1853,Fire
61.5,1150,742,1840,Fire
60.94,1131,722,1824,Fire
60.69,1126,743,1808,Fire
60.44,1117,732,1799,Fire
60.13,1106,732,1792,Fire
59.94,1121,728,1775,Fire
59.63,1110,739,1766,Fire
59.5,1104,720,1755,Fire
59.06,1102,721,1743,Fire
58.63,1090,720,1731,Fire
58.19,1081,715,1718,Fire
58.06,1072,711,1705,Fire
57.81,1063,711,1698,Fire
57.44,1059,686,1693,Fire
57,1053,704,1671,Fire
56.94,1072,705,1692,Fire
56.75,1034,699,1680,Fire
56.38,1072,702,1666,Fire
56.13,1072,700,1659,Fire
55.94,1069,695,1647,Fire
56.25,1061,698,1648,Fire
56.38,1135,713,1684,Fire
56.06,1143,687,1696,Fire
56.44,1167,688,1680,Fire
57.31,1273,703,1710,Fire
57.31,1219,705,1702,Fire
57.31,1193,694,1671,Fire
57.25,1173,701,1653,Fire
57.31,1158,688,1621,Fire
57.88,1146,688,1614,Fire
59.63,1175,694,1631,Fire
59.69,1184,695,1623,Fire
60.06,1193,695,1633,Fire
60,1168,699,1648,Fire
59.94,1213,698,1631,Fire
59.94,1197,690,1620,Fire
59.81,1168,688,1593,Fire
59.88,1157,679,1577,Fire
59.69,1134,686,1552,Fire
59.69,1123,683,1525,Fire
59.5,1114,693,1535,Fire
59.5,1104,677,1509,Fire
59.38,1103,679,1508,Fire
59.38,1091,672,1488,Fire
59.19,1081,669,1476,Fire
58.94,1070,667,1454,Fire
58.75,1045,661,1442,Fire
58.44,1021,655,1429,Fire
58.19,1033,656,1420,Fire
57.88,1034,646,1403,Fire
57.63,1042,654,1392,Fire
57.5,1040,645,1386,Fire
57.75,1047,653,1390,Fire
58.56,1069,656,1417,Fire
60.75,1130,669,1461,Fire
63.19,1168,676,1514,Fire
